91,Paul "The Irish Dragon" Felder,15-4-0,https://images.tapology.com/headshot_images/19266/icon/Paul_Felder-hs.jpg?1544679926
92,Jared "Killa Gorilla" Cannonier,11-4-0,https://images.tapology.com/headshot_images/63163/icon/Jared_Cannonier-hs.jpg?1541302043
93,Ovince "OSP" St. Preux,23-12-0,https://images.tapology.com/headshot_images/1528/icon/Ovince_St._Preux.jpg?1546573124
95,David Branch,22-5-0,https://images.tapology.com/headshot_images/1589/icon/07_DavidBranchUFC116w.jpg?1278253350
94,Jussier Formiga,22-5-0,https://images.tapology.com/headshot_images/11853/icon/Jussier_Formiga-hs.jpg?1547752319
96,John "The Magician" Dodson,20-10-0,https://images.tapology.com/headshot_images/5231/icon/Dodson-John-TUF14-1-hs.jpg?1322934224
97,Charles "do Bronx" Oliveira,25-8-0 / 1 NC,https://images.tapology.com/headshot_images/1613/icon/19-Charles-Oliveira-UFC-124-weigh-0081.jpg?1292010235
98,Vadim Nemkov,10-2-0,https://images.tapology.com/headshot_images/62209/icon/vadim_nemkov_headshot.JPG?1408056924
100,Phil "Mr. Wonderful" Davis,19-5-0 / 1 NC,https://images.tapology.com/headshot_images/947/icon/Davis-Phil-UFC109-1.jpg?1421782787
99,Maurício "Shogun" Rua,26-11-0,https://images.tapology.com/headshot_images/3/icon/Rua-Mauricio-UFCFOX4-1-hs.jpg?1344097392
102,Chael Sonnen,30-16-1,https://images.tapology.com/headshot_images/287/icon/Sonnen-Chael-UFC167-1-hs.jpg?1384632989
101,Jorge "Gamebred" Masvidal,32-13-0,https://images.tapology.com/headshot_images/536/icon/Jorge_Masvidal.jpg?1542341352
103,Cub Swanson,25-10-0,https://images.tapology.com/headshot_images/85/icon/Swanson-Cub-WEC44-2.jpg?1423979156
104,Patricio Pitbull,28-4-0,https://images.tapology.com/headshot_images/1542/icon/Patricio-Pitbull_Freire-hs.jpg?1379026563
106,Leon "Rocky" Edwards,16-3-0,https://images.tapology.com/headshot_images/21429/icon/Leon-Edwards-hs.jpg?1386878230
105,Tai "Bam Bam" Tuivasa,10-1-0,https://images.tapology.com/headshot_images/120884/icon/Tai_Tuivasa.jpg?1543185365
107,Nikita "The Miner" Krylov,25-6-0,https://images.tapology.com/headshot_images/37801/icon/Nikita-Krylov.jpg?1462760225
108,Gunnar "Gunni" Nelson,17-3-1,https://images.tapology.com/headshot_images/16566/icon/Gunnar-Nelson-hs.jpg?1437930984
109,Neil Magny,21-7-0,https://images.tapology.com/headshot_images/16456/icon/Magny-Neil-UFC157-1-hs.jpg?1422914695
111,Deiveson "Deus da Guerra" Figueiredo,15-0-0,https://images.tapology.com/headshot_images/76553/icon/Deiveson_Figueiredo.jpg?1529551636
110,Ray "The Tazmexican Devil" Borg,11-3-0,https://images.tapology.com/headshot_images/22889/icon/Ray-Borg-hs.jpg?1396544732
112,"Platinum" Mike Perry,12-4-0,https://images.tapology.com/headshot_images/78335/icon/Mike-Perry_hs.jpg?1476728902
113,Darrion "The Wolf" Caldwell,12-2-0 / 1 NC,https://images.tapology.com/headshot_images/31762/icon/Darrion_Caldwell-hs.jpg?1528666514
114,Jimi "Poster Boy" Manuwa,17-5-0,https://images.tapology.com/headshot_images/12218/icon/Jimi-Manuwa.jpg?1533313954
115,AJ "Mercenary" McKee Jr.,13-0-0,https://images.tapology.com/headshot_images/69323/icon/AJ_McKee_J-hsr.jpg?1518074786
116,Johnny Walker,15-3-0,https://images.tapology.com/headshot_images/85671/icon/walker2.jpg?1534011086
118,Mairbek "Beckan" Taisumov,27-5-0,https://images.tapology.com/headshot_images/12889/icon/Mairbek-Taisumov-hs.jpg?1388689294
117,Darren "The Damage" Elkins,24-7-0,https://images.tapology.com/headshot_images/1449/icon/Darren_Elkins.jpg?1542432322
119,Petr "No Mercy" Yan,11-1-0,https://images.tapology.com/headshot_images/90075/icon/Petr_Yan.jpg?1536076102
121,"Sugar" Sean O'Malley,10-0-0,https://images.tapology.com/headshot_images/68186/icon/Sean_O'Malley-hs.jpg?1494001737
120,Dustin Ortiz,19-8-0,https://images.tapology.com/headshot_images/1523/icon/Dustin_Ortiz.jpg?1547523483
123,Andrey "Spartan" Koreshkov,21-3-0,https://images.tapology.com/headshot_images/18069/icon/Andrey-Koreshkov-hs.jpg?1375246435
122,Curtis "Curtious" Millender,17-3-0,https://images.tapology.com/headshot_images/52092/icon/RIBZ.jpg?1546052103
125,Mark "Super Samoan" Hunt,13-14-1 / 1 NC,https://images.tapology.com/headshot_images/305/icon/McCorkleHuntUFC119-007.jpg?1285685832
124,Tyson Pedro,7-3-0,https://images.tapology.com/headshot_images/55878/icon/Tyson-Pedro-hs.jpg?1483636218
